date,close_c,ret_c,close_cbot,ret_cbot,diff_ret
2005-01-31,1148,,197.0,,
2005-02-28,1185,3.22,214.5,8.88,-5.66
2005-03-31,1327,11.98,213.0,-0.7,12.68
2005-04-30,1314,-0.98,204.75,-3.87,2.89
2005-05-31,1283,-2.36,222.0,8.42,-10.78
2005-06-30,1288,0.39,212.25,-4.39,4.78
2005-07-31,1256,-2.48,236.5,11.43,-13.91
2005-08-31,1236,-1.59,201.5,-14.8,13.21
2005-09-30,1265,2.35,205.5,1.99,0.36
2005-10-31,1263,-0.16,196.25,-4.5,4.34
2005-11-30,1283,1.58,187.5,-4.46,6.04
2005-12-31,1368,6.63,215.75,15.07,-8.44
2006-01-31,1446,5.7,218.75,1.39,4.31
2006-02-28,1467,1.45,228.0,4.23,-2.78
2006-03-31,1437,-2.04,236.0,3.51,-5.55
2006-04-30,1447,0.7,238.25,0.95,-0.26
2006-05-31,1526,5.46,251.25,5.46,0.0
2006-06-30,1476,-3.28,235.5,-6.27,2.99
2006-07-31,1428,-3.25,239.0,1.49,-4.74
2006-08-31,1400,-1.96,232.0,-2.93,0.97
2006-09-30,1408,0.57,262.5,13.15,-12.58
2006-10-31,1471,4.47,320.75,22.19,-17.72
2006-11-30,1697,15.36,377.0,17.54,-2.17
2006-12-31,1728,1.83,390.25,3.51,-1.69
2007-01-31,1715,-0.75,404.0,3.52,-4.28
2007-02-28,1708,-0.41,425.25,5.26,-5.67
2007-03-31,1690,-1.05,374.5,-11.93,10.88
2007-04-30,1658,-1.89,358.0,-4.41,2.51
2007-05-31,1711,3.2,390.25,9.01,-5.81
2007-06-30,1569,-8.3,329.5,-15.57,7.27
2007-07-31,1526,-2.74,325.75,-1.14,-1.6
2007-08-31,1632,6.95,324.0,-0.54,7.48
2007-09-30,1666,2.08,373.0,15.12,-13.04
2007-10-31,1706,2.4,375.5,0.67,1.73
2007-11-30,1757,2.99,384.5,2.4,0.59
2007-12-31,1694,-3.59,455.5,18.47,-22.05
2008-01-31,1744,2.95,501.25,10.04,-7.09
2008-02-29,1811,3.84,546.0,8.93,-5.09
2008-03-31,1948,7.56,567.25,3.89,3.67
2008-04-30,1968,1.03,600.25,5.82,-4.79
2008-05-31,1876,-4.67,599.25,-0.17,-4.51
2008-06-30,1941,3.46,724.75,20.94,-17.48
2008-07-31,1832,-5.62,587.5,-18.94,13.32
2008-08-31,1850,0.98,568.25,-3.28,4.26
2008-09-30,1768,-4.43,487.5,-14.21,9.78
2008-10-31,1655,-6.39,401.5,-17.64,11.25
2008-11-30,1557,-5.92,349.5,-12.95,7.03
2008-12-31,1548,-0.58,407.0,16.45,-17.03
2009-01-31,1579,2.0,379.0,-6.88,8.88
2009-02-28,1666,5.51,350.75,-7.45,12.96
2009-03-31,1695,1.74,404.75,15.4,-13.65
2009-04-30,1670,-1.47,396.25,-2.1,0.63
2009-05-31,1662,-0.48,436.25,10.09,-10.57
2009-06-30,1627,-2.11,347.75,-20.29,18.18
2009-07-31,1666,2.4,339.5,-2.37,4.77
