date,year,month,c_open,c_high,c_low,c_close,c_ret%,cbot_close,cbot_ret%,diff%
2005-01-31,2005,1,1150,,,1148,,197.0,,
2005-02-28,2005,2,1151,,,1185,3.22,214.5,8.88,-5.66
2005-03-31,2005,3,1185,,,1327,11.98,213.0,-0.7,12.68
2005-04-30,2005,4,1323,,,1314,-0.98,204.75,-3.87,2.89
2005-05-31,2005,5,1315,,,1283,-2.36,222.0,8.43,-10.78
2005-06-30,2005,6,1280,,,1288,0.39,212.25,-4.39,4.78
2005-07-31,2005,7,1292,,,1256,-2.48,236.5,11.42,-13.91
2005-08-31,2005,8,1252,,,1236,-1.59,201.5,-14.8,13.21
2005-09-30,2005,9,1232,,,1265,2.35,205.5,1.98,0.36
2005-10-31,2005,10,1265,,,1263,-0.16,196.25,-4.5,4.34
2005-11-30,2005,11,1226,,,1283,1.58,187.5,-4.46,6.04
2005-12-31,2005,12,1285,,,1368,6.63,215.75,15.07,-8.44
2006-01-31,2006,1,1366,,,1446,5.7,218.75,1.39,4.31
2006-02-28,2006,2,1480,,,1467,1.45,228.0,4.23,-2.78
2006-03-31,2006,3,1471,,,1437,-2.04,236.0,3.51,-5.55
2006-04-30,2006,4,1449,,,1447,0.7,238.25,0.95,-0.26
2006-05-31,2006,5,1450,,,1526,5.46,251.25,5.46,0.0
2006-06-30,2006,6,1520,,,1476,-3.28,235.5,-6.27,2.99
2006-07-31,2006,7,1479,,,1428,-3.25,239.0,1.49,-4.74
2006-08-31,2006,8,1423,,,1400,-1.96,232.0,-2.93,0.97
2006-09-30,2006,9,1400,,,1408,0.57,262.5,13.15,-12.58
2006-10-31,2006,10,1411,,,1471,4.47,320.75,22.19,-17.72
2006-11-30,2006,11,1468,,,1697,15.36,377.0,17.54,-2.17
2006-12-31,2006,12,1704,,,1728,1.83,390.25,3.52,-1.69
2007-01-31,2007,1,1678,,,1715,-0.75,404.0,3.52,-4.28
2007-02-28,2007,2,1711,,,1708,-0.41,425.25,5.26,-5.67
2007-03-31,2007,3,1717,,,1690,-1.05,374.5,-11.93,10.88
2007-04-30,2007,4,1630,,,1658,-1.89,358.0,-4.41,2.51
2007-05-31,2007,5,1660,,,1711,3.2,390.25,9.01,-5.81
2007-06-30,2007,6,1717,,,1569,-8.3,329.5,-15.57,7.27
2007-07-31,2007,7,1575,,,1526,-2.74,325.75,-1.14,-1.6
2007-08-31,2007,8,1530,,,1632,6.95,324.0,-0.54,7.48
2007-09-30,2007,9,1632,,,1666,2.08,373.0,15.12,-13.04
2007-10-31,2007,10,1640,,,1706,2.4,375.5,0.67,1.73
2007-11-30,2007,11,1722,,,1757,2.99,384.5,2.4,0.59
2007-12-31,2007,12,1766,,,1694,-3.59,455.5,18.47,-22.05
2008-01-31,2008,1,1700,,,1744,2.95,501.25,10.04,-7.09
