date,close,volume,open_interest
2025-02-11,2900.0,1727662.0,2242674.0
2025-02-18,2858.0,1313441.0,2290185.0
2025-02-25,2912.0,1397215.0,2325018.0
2025-03-04,2974.0,3651982.0,2515495.0
2025-03-11,2855.0,2943228.0,2140025.0
2025-03-18,2907.0,1412875.0,1882645.0
2025-03-25,2868.0,973231.0,1716506.0
2025-04-01,2951.0,865877.0,1843857.0
2025-04-08,3164.0,2551277.0,2349506.0
2025-04-15,3066.0,1944264.0,2484209.0
2025-04-22,3054.0,1583221.0,2416736.0
2025-04-29,2964.0,1405713.0,2473108.0
2025-05-06,2915.0,821492.0,2473347.0
2025-05-13,2886.0,1354709.0,2591086.0
2025-05-20,2889.0,1023983.0,2567545.0
2025-05-27,2966.0,1067156.0,2373869.0
2025-06-03,2935.0,1140522.0,2221712.0
2025-06-10,3031.0,1082721.0,2319959.0
2025-06-17,3074.0,1404601.0,2370120.0
2025-06-24,3037.0,904147.0,2330396.0
2025-07-01,2961.0,896669.0,2148616.0
2025-07-08,2935.0,713595.0,2134739.0
2025-07-15,2978.0,854905.0,1962612.0
2025-07-22,3086.0,1180910.0,1851232.0
2025-07-29,2983.0,1013822.0,1468086.0
2025-08-05,3065.0,573708.0,1487930.0
2025-08-12,3091.0,1107230.0,1757131.0
2025-08-19,3161.0,933541.0,2107908.0
2025-08-26,3081.0,1097489.0,2053457.0
2025-09-02,3050.0,757362.0,2048115.0
2025-09-09,3075.0,689359.0,2002836.0
2025-09-16,3041.0,964263.0,1995228.0
2025-09-23,2928.0,2372830.0,2007056.0
2025-09-30,2928.0,570193.0,1864639.0
2025-10-14,2902.0,1293039.0,1997420.0
2025-10-21,2889.0,746759.0,1985599.0
2025-10-28,2975.0,1226995.0,1659517.0
2025-11-04,3015.0,961854.0,1587968.0
2025-11-11,3054.0,822179.0,1602533.0
2025-11-18,3041.0,1081749.0,1651475.0
2025-11-25,3013.0,712323.0,1453249.0
2025-12-02,2848.0,417432.0,1556300.0
2025-12-09,2763.0,859072.0,1919537.0
2025-12-16,2777.0,1038177.0,2009162.0
2025-12-23,2745.0,568687.0,2151398.0
2025-12-30,2778.0,835557.0,2144500.0
2026-01-06,2776.0,800156.0,2174350.0
2026-01-13,2761.0,1180639.0,2258105.0
2026-01-20,2736.0,729055.0,2213007.0
2026-01-27,2766.0,660637.0,2178262.0
2026-02-03,2782.0,793254.0,2184028.0
