date,year,month,sr_open,sr_high,sr_low,sr_close,sr_ret%,ice_close,ice_ret%,diff%
2018-11-30,2018,11,5080,,,4908,-3.63,12.84,-2.65,-0.98
2018-12-31,2018,12,4923,,,4700,-4.24,12.03,-6.31,2.07
2019-01-31,2019,1,4680,,,5043,7.3,12.73,5.82,1.48
2019-02-28,2019,2,5042,,,5162,2.36,12.73,0.0,2.36
2019-03-31,2019,3,5155,,,5047,-2.23,12.53,-1.57,-0.66
2019-04-30,2019,4,5043,,,5122,1.49,11.99,-4.31,5.8
2019-05-31,2019,5,5084,,,4943,-3.49,12.1,0.92,-4.41
2019-06-30,2019,6,4943,,,5010,1.36,12.32,1.82,-0.46
2019-07-31,2019,7,5010,,,5322,6.23,12.21,-0.89,7.12
2019-08-31,2019,8,5373,,,5368,0.86,11.14,-8.76,9.63
2019-09-30,2019,9,5366,,,5507,2.59,11.92,7.0,-4.41
2019-10-31,2019,10,5500,,,5718,3.83,12.48,4.7,-0.87
2019-11-30,2019,11,5714,,,5553,-2.89,12.94,3.69,-6.57
2019-12-31,2019,12,5563,,,5581,0.5,13.42,3.71,-3.2
2020-01-31,2020,1,5584,,,5622,0.73,14.61,8.87,-8.13
2020-02-29,2020,2,5488,,,5664,0.75,14.46,-1.03,1.77
2020-03-31,2020,3,5690,,,5503,-2.84,10.42,-27.94,25.1
2020-04-30,2020,4,5492,,,5015,-8.87,10.39,-0.29,-8.58
2020-05-31,2020,5,5089,,,4937,-1.56,10.91,5.0,-6.56
2020-06-30,2020,6,4930,,,5011,1.5,11.84,8.52,-7.03
2020-07-31,2020,7,5021,,,5036,0.5,12.64,6.76,-6.26
2020-08-31,2020,8,5048,,,5189,3.04,12.66,0.16,2.88
2020-09-30,2020,9,5192,,,5081,-2.08,13.07,3.24,-5.32
2020-10-31,2020,10,5146,,,5203,2.4,14.36,9.87,-7.47
2020-11-30,2020,11,5184,,,5117,-1.65,14.51,1.04,-2.7
2020-12-31,2020,12,5155,,,5215,1.92,15.49,6.75,-4.84
2021-01-31,2021,1,5230,,,5215,0.0,15.83,2.19,-2.19
2021-02-28,2021,2,5227,,,5390,3.36,17.53,10.74,-7.38
2021-03-31,2021,3,5368,,,5269,-2.24,14.77,-15.74,13.5
2021-04-30,2021,4,5271,,,5464,3.7,17.44,18.08,-14.38
2021-05-31,2021,5,5520,,,5548,1.54,17.36,-0.46,2.0
2021-06-30,2021,6,5551,,,5605,1.03,17.63,1.56,-0.53
2021-07-31,2021,7,5605,,,5621,0.29,17.91,1.59,-1.3
2021-08-31,2021,8,5618,,,5871,4.45,19.84,10.78,-6.33
2021-09-30,2021,9,5865,,,5812,-1.0,19.83,-0.05,-0.95
2021-10-31,2021,10,5819,,,5978,2.86,19.27,-2.82,5.68
2021-11-30,2021,11,5961,,,5889,-1.49,18.6,-3.48,1.99
2021-12-31,2021,12,5880,,,5777,-1.9,18.88,1.5,-3.41
2022-01-31,2022,1,5770,,,5706,-1.23,18.22,-3.5,2.27
2022-02-28,2022,2,5706,,,5696,-0.18,18.0,-1.21,1.03
2022-03-31,2022,3,5703,,,5799,1.81,19.49,8.28,-6.47
2022-04-30,2022,4,5806,,,5876,1.33,19.35,-0.72,2.05
2022-05-31,2022,5,5846,,,6088,3.61,19.4,0.26,3.35
2022-06-30,2022,6,6069,,,5842,-4.04,18.83,-2.94,-1.1
2022-07-31,2022,7,5850,,,5805,-0.63,17.54,-6.85,6.22
2022-08-31,2022,8,5803,,,5532,-4.7,17.89,2.0,-6.7
2022-09-30,2022,9,5514,,,5442,-1.63,18.42,2.96,-4.59
2022-10-31,2022,10,5539,,,5511,1.27,17.97,-2.44,3.71
2022-11-30,2022,11,5525,,,5524,0.24,19.63,9.24,-9.0
2022-12-31,2022,12,5545,,,5783,4.69,20.04,2.09,2.6
2023-01-31,2023,1,5756,,,5864,1.4,21.76,8.58,-7.18
2023-02-28,2023,2,5893,,,5949,1.45,22.08,1.47,-0.02
2023-03-31,2023,3,5939,,,6448,8.39,22.25,0.77,7.62
2023-04-30,2023,4,6448,,,7035,9.1,26.99,21.3,-12.2
2023-05-31,2023,5,6900,,,6878,-2.23,25.06,-7.15,4.92
2023-06-30,2023,6,6850,,,6730,-2.15,22.89,-8.66,6.51
2023-07-31,2023,7,6731,,,6714,-0.24,24.11,5.33,-5.57
2023-08-31,2023,8,6730,,,6951,3.53,25.06,3.94,-0.41
2023-09-30,2023,9,6960,,,6947,-0.06,26.27,4.83,-4.89
2023-10-31,2023,10,6961,,,6788,-2.29,27.09,3.12,-5.41
2023-11-30,2023,11,6790,,,6738,-0.74,26.04,-3.88,3.14
2023-12-31,2023,12,6736,,,6307,-6.4,20.58,-20.97,14.57
2024-01-31,2024,1,6263,,,6461,2.44,24.13,17.25,-14.81
2024-02-29,2024,2,6456,,,6289,-2.66,22.58,-6.42,3.76
2024-03-31,2024,3,6255,,,6510,3.51,22.52,-0.27,3.78
2024-04-30,2024,4,6520,,,6168,-5.25,19.71,-12.48,7.22
2024-05-31,2024,5,6162,,,6120,-0.78,18.3,-7.15,6.38
2024-06-30,2024,6,6136,,,6212,1.5,20.31,10.98,-9.48
2024-07-31,2024,7,6228,,,6196,-0.26,18.94,-6.74,6.49
2024-08-31,2024,8,6190,,,5652,-8.78,19.38,2.32,-11.1
2024-09-30,2024,9,5651,,,5915,4.65,22.67,16.98,-12.32
2024-10-31,2024,10,5913,,,5870,-0.76,22.74,0.31,-1.07
2024-11-30,2024,11,5897,,,6135,4.51,21.08,-7.3,11.81
2024-12-31,2024,12,6109,,,5961,-2.84,19.26,-8.63,5.8
2025-01-31,2025,1,5970,,,5817,-2.42,19.35,0.47,-2.88
2025-02-28,2025,2,5859,,,5931,1.96,19.51,0.83,1.13
2025-03-31,2025,3,5917,,,6075,2.43,18.86,-3.33,5.76
2025-04-30,2025,4,6077,,,5887,-3.09,17.46,-7.42,4.33
2025-05-31,2025,5,5872,,,5763,-2.11,17.05,-2.35,0.24
2025-06-30,2025,6,5752,,,5807,0.76,15.48,-9.21,9.97
2025-07-31,2025,7,5773,,,5793,-0.24,16.35,5.62,-5.86
2025-08-31,2025,8,5782,,,5604,-3.26,16.37,0.12,-3.38
2025-09-30,2025,9,5600,,,5493,-1.98,16.1,-1.65,-0.33
2025-10-31,2025,10,5498,,,5483,-0.18,14.43,-10.37,10.19
2025-11-30,2025,11,5479,,,5400,-1.51,15.21,5.4,-6.92
2025-12-31,2025,12,5405,,,5251,-2.76,15.01,-1.32,-1.44
2026-01-31,2026,1,5226,,,5248,-0.06,14.27,-4.93,4.87
2026-02-28,2026,2,5230,,,5324,1.45,14.3,0.21,1.24
2026-03-31,2026,3,5330,,,5431,2.01,15.52,8.53,-6.52
2026-04-30,2026,4,5440,,,5406,-0.46,14.58,-6.06,5.6
2026-05-31,2026,5,5441,,,5429,0.43,14.62,0.27,0.15
