month,CBOT平均%,CBOT中位%,CBOT胜率%,CBOT最大%,CBOT最小%,样本
1,1.13,2.2,66.7,13.02,-13.99,21
2,1.47,2.6,63.6,11.42,-7.45,22
3,0.85,0.13,50.0,15.4,-11.93,22
4,2.35,1.09,54.5,31.15,-8.58,22
5,0.26,0.11,50.0,20.88,-15.9,22
6,-2.16,-4.39,28.6,21.12,-20.29,21
7,-4.66,-4.76,33.3,19.93,-26.54,21
8,-1.5,-1.95,28.6,13.82,-14.8,21
9,2.44,3.8,76.2,16.78,-21.78,21
10,3.14,1.96,66.7,22.19,-17.64,21
11,-1.01,-1.16,33.3,17.54,-12.95,21
12,6.16,4.44,90.5,18.68,-6.65,21
