date,close,open,high,low,ret,year,month
2006-01-31,6030,4700,,,,2006,1
2006-02-28,5293,6246,,,-12.222222222222223,2006,2
2006-03-31,5071,5350,,,-4.194218779520121,2006,3
2006-04-30,4778,5027,,,-5.777953066456321,2006,4
2006-05-31,4776,4808,,,-0.04185851820845965,2006,5
2006-06-30,4272,4640,,,-10.552763819095478,2006,6
2006-07-31,3967,4211,,,-7.139513108614237,2006,7
2006-08-31,3272,3960,,,-17.519536173430804,2006,8
2006-09-30,3341,3302,,,2.108801955990214,2006,9
2006-10-31,3825,3342,,,14.48668063454055,2006,10
2006-11-30,3960,3752,,,3.529411764705892,2006,11
2006-12-31,3773,3938,,,-4.722222222222228,2006,12
2007-01-31,3732,3715,,,-1.0866684336072074,2007,1
2007-02-28,3831,3726,,,2.6527331189710512,2007,2
2007-03-31,3891,3810,,,1.566170712607673,2007,3
2007-04-30,3722,3881,,,-4.343356463634029,2007,4
2007-05-31,3627,3749,,,-2.552391187533587,2007,5
2007-06-30,3474,3620,,,-4.218362282878408,2007,6
2007-07-31,3699,3471,,,6.476683937823835,2007,7
2007-08-31,3822,3724,,,3.3252230332522226,2007,8
2007-09-30,3916,3812,,,2.4594453165881713,2007,9
2007-10-31,3971,3870,,,1.404494382022481,2007,10
2007-11-30,3945,4001,,,-0.6547469151347296,2007,11
2007-12-31,3952,3935,,,0.1774397972116537,2007,12
2008-01-31,3841,3980,,,-2.808704453441291,2008,1
2008-02-29,4605,3850,,,19.890653475657373,2008,2
2008-03-31,4132,4680,,,-10.271444082518999,2008,3
2008-04-30,3826,3790,,,-7.4056147144240025,2008,4
2008-05-31,3897,3863,,,1.855723993727132,2008,5
2008-06-30,3782,3925,,,-2.950987939440597,2008,6
2008-07-31,3477,3796,,,-8.064516129032262,2008,7
2008-08-31,3309,3488,,,-4.831751509922344,2008,8
2008-09-30,3128,3295,,,-5.469930492595953,2008,9
2008-10-31,3276,3025,,,4.731457800511518,2008,10
2008-11-30,3118,3220,,,-4.822954822954828,2008,11
2008-12-31,2852,3098,,,-8.53110968569596,2008,12
2009-01-31,3149,2955,,,10.413744740532959,2009,1
2009-02-28,3729,3152,,,18.418545570022225,2009,2
