date,c_close,c_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2024-08-31,2338,-0.55,-0.07,0.47,C. -0.5<ONI<0.5 (中性),-1.97,-6.29,0.94
2024-09-30,2225,-4.83,-0.17,0.23,C. -0.5<ONI<0.5 (中性),1.17,-3.69,5.66
2024-10-31,2248,1.03,-0.21,0.06,C. -0.5<ONI<0.5 (中性),5.74,-5.25,
2024-11-30,2163,-3.78,-0.3,-0.08,C. -0.5<ONI<0.5 (中性),8.0,3.74,
2024-12-31,2229,3.05,-0.42,-0.18,C. -0.5<ONI<0.5 (中性),6.68,-0.13,
2025-01-31,2283,2.42,-0.45,-0.27,C. -0.5<ONI<0.5 (中性),0.22,-0.53,
2025-02-28,2292,0.39,-0.24,-0.3,C. -0.5<ONI<0.5 (中性),-4.41,2.97,
2025-03-31,2251,-1.79,-0.06,-0.28,C. -0.5<ONI<0.5 (中性),-4.8,4.44,
2025-04-30,2377,5.6,0.02,-0.24,C. -0.5<ONI<0.5 (中性),-10.39,,
2025-05-31,2336,-1.72,-0.02,-0.2,C. -0.5<ONI<0.5 (中性),-3.94,,
2025-06-30,2378,1.8,-0.04,-0.13,C. -0.5<ONI<0.5 (中性),-6.39,,
2025-07-31,2288,-3.78,-0.14,-0.08,C. -0.5<ONI<0.5 (中性),-0.74,,
2025-08-31,2191,-4.24,-0.28,-0.09,C. -0.5<ONI<0.5 (中性),7.71,,
2025-09-30,2143,-2.19,-0.4,-0.14,C. -0.5<ONI<0.5 (中性),9.71,,
2025-10-31,2130,-0.61,-0.51,-0.23,C. -0.5<ONI<0.5 (中性),,,
2025-11-30,2244,5.35,-0.55,-0.32,C. -0.5<ONI<0.5 (中性),,,
2025-12-31,2226,-0.8,-0.54,-0.4,C. -0.5<ONI<0.5 (中性),,,
2026-01-31,2271,2.02,-0.37,-0.44,C. -0.5<ONI<0.5 (中性),,,
2026-02-28,2360,3.92,-0.15,-0.42,C. -0.5<ONI<0.5 (中性),,,
2026-03-31,2351,-0.38,0.11,-0.34,C. -0.5<ONI<0.5 (中性),,,
