month,平均涨幅%,中位数%,胜率%,最大%,最小%,样本数
1,1.27,1.33,63.6,5.7,-1.54,21
2,0.89,2.34,77.3,5.51,-19.76,22
3,0.31,-0.43,45.5,11.98,-7.8,22
4,0.71,-0.22,45.5,7.18,-3.12,22
5,0.3,-0.11,50.0,6.67,-4.67,22
6,-1.09,-1.19,42.9,4.91,-8.3,21
7,-1.55,-2.48,28.6,11.15,-13.03,21
8,0.32,0.28,52.4,6.95,-4.24,21
9,-1.13,-1.66,33.3,9.11,-7.17,21
10,1.62,1.03,71.4,8.82,-6.39,21
11,1.59,1.58,71.4,15.36,-5.92,21
12,0.97,0.16,52.4,6.63,-4.3,21
